paperaudio_id,performer_id
84,124
116,2
116,112
663,108
663,44
667,2
667,44
833,126
912,15
1118,63
1151,63
1151,54
1151,103
1151,32
1151,30
1151,69
1152,31
1152,93
1153,31
1153,93
1154,46
1154,120
1156,119
1156,104
1156,67
1156,66
1156,6
1157,110
1157,119
1157,117
1158,119
1158,33
1159,119
1159,33
1161,53
1161,40
1161,123
1161,46
1162,123
1162,46
1166,68
1166,53
1166,57
1166,59
1166,73
1166,101
1166,103
1166,67
1166,30
1166,90
1166,102
1166,80
1167,29
1167,105
1169,58
1169,102
1169,54
1169,10
1169,67
1169,31
1169,84
1170,31
1170,84
1171,58
1171,102
1171,54
1171,10
1171,67
1171,31
1171,84
1172,31
1172,84
1173,2
1173,123
1173,63
1173,53
1173,54
1173,55
1173,112
1173,46
1173,65
1173,67
1173,105
1173,3
1174,2
1174,123
1174,63
1174,129
1174,54
1174,55
1174,112
1174,46
1174,65
1174,67
1174,105
1174,3
1175,121
1175,2
1175,112
1175,110
1184,15
1184,5
1184,69
1184,34
1184,67
1185,34
1185,67
1185,6
1185,8
1186,15
1187,31
1187,2
1187,46
1187,84
1187,44
1187,16
1188,44
1188,31
1188,93
1188,28
1188,45
1188,70
1188,15
1191,44
1191,31
1191,93
1191,28
1191,45
1191,70
1191,15
1192,53
1195,15
1196,15
1199,44
1200,2
1201,2
1202,2
1202,53
1203,2
1203,55
1203,15
1204,2
1204,55
1204,15
1204,16
1205,15
1206,15
1207,15
1208,15
1209,15
1210,15
1211,15
1212,15
1213,15
1213,53
1213,66
1213,55
1213,68
1213,16
1214,16
1214,40
1215,15
1215,53
1215,66
1215,55
1215,68
1215,16
1216,16
1216,40
1217,29
1218,29
1219,29
1220,29
1221,31
1223,112
1224,112
1225,46
1226,46
1227,46
1228,65
1228,15
1229,46
1230,46
1231,46
1232,2
1232,112
1232,73
1233,73
1234,46
1235,105
1235,15
1236,105
1236,15
1237,105
1238,11
1239,15
1241,105
1241,15
1242,105
1243,44
1244,44
1245,44
1246,44
1246,15
1246,25
1246,66
1247,11
1248,44
1248,66
1248,11
1248,26
1249,18
1249,26
1250,44
1250,66
1250,11
1250,26
1251,18
1251,26
1252,44
1253,44
1253,15
1253,25
1253,66
1254,11
1254,15
1255,15
1256,19
1256,26
1256,18
1257,18
1257,15
1258,16
1258,15
1259,16
1259,15
1260,24
1260,15
1261,15
1261,9
1261,14
1262,15
1263,15
1264,15
1265,15
1266,16
1266,15
1267,15
1268,15
1270,2
1270,66
1270,44
1270,90
1270,41
1270,73
1270,45
1271,2
1271,66
1271,44
1272,16
1272,51
1273,16
1273,51
1274,16
1274,51
1275,65
1318,18
1319,15
1331,11
1332,53
1333,15
1338,15
1338,5
1338,69
1339,34
1339,67
1340,34
1340,67
1417,44
1434,16
1451,16
1489,11
1490,15
1491,15
1492,15
1493,44
1496,53
1507,15
1511,44
1511,2
1511,17
1511,9
1511,16
1511,67
1511,29
1511,125
1512,44
1512,18
1513,19
1513,11
1513,48
1513,44
1513,18
1513,15
1513,99
1513,8
1513,14
1513,26
1513,12
1514,44
1514,11
1514,12
1514,18
1514,48
1514,14
1514,19
1514,99
1514,8
1514,15
1514,26
1514,24
1515,44
1515,18
1515,99
1515,8
1515,68
1515,63
1515,6
1515,32
1515,14
1515,11
1515,26
1515,23
1515,12
1515,48
1515,19
1515,13
1515,15
1516,44
1516,18
1516,11
1516,26
1516,14
1516,48
1516,19
1516,12
1516,99
1516,8
1517,44
1517,152
1517,18
1517,48
1517,19
1517,12
1517,149
1517,72
1517,153
1517,11
1517,51
1517,14
1517,26
1518,70
1518,11
1518,48
1518,17
1518,44
1518,26
1518,18
1518,99
1518,40
1518,120
1518,65
1518,68
1518,69
1518,15
1518,51
1518,121
1518,34
1518,32
1649,18
1655,15
1656,108
1657,15
1658,29
1659,108
1660,32
1663,29
1664,112
1676,15
1682,112
1683,29
1685,29
1686,18
1688,32
1689,20
1729,29
1730,63
1731,4
1732,32
1733,31
1761,15
1761,51
1761,16
1761,29
1761,105
1786,11
1848,15
1863,15
1863,45
1863,24
1867,15
1868,44
1875,44
1875,23
1876,15
1891,63
1891,32
1891,18
1898,44
1898,26
1898,11
1898,24
1898,18
1898,51
1898,12
1898,17
1898,14
1898,15
1898,48
1898,49
1898,19
1899,14
1899,18
1899,26
1899,12
1899,44
1899,48
1899,23
1899,19
1899,24
1899,74
1899,15
1899,51
1899,11
1901,4
1903,15
1904,16
1946,16
1947,40
1970,32
1974,20
1974,12
1974,124
1974,16
1974,100
1974,44
2035,32
2035,20
2035,15
2035,108
2035,112
2042,11
2065,25
2066,16
2067,51
2068,99
2069,50
2070,63
2070,32
2071,46
2072,11
2073,15
2077,18
2079,99
2082,16
2086,31
2086,44
2086,84
2086,16
2086,2
2087,121
2087,110
2088,2
2088,4
2089,121
2089,110
2090,188
2090,189
2091,31
2091,93
2092,127
2092,117
2092,119
2092,65
2092,84
2093,2
2093,4
2094,121
2094,110
2095,117
2095,119
2096,66
2096,6
2096,119
2096,104
2096,67
2097,100
2097,16
2097,44
2097,18
2097,19
2097,49
2097,23
2097,17
2097,20
2253,44
2253,18
2253,11
2253,48
2254,44
2254,18
2254,11
2254,12
2254,19
2254,15
2255,44
2255,11
2255,51
2255,18
2256,11
2256,51
2256,49
2256,44
2256,76
2256,23
2256,15
2256,24
2256,19
2304,108
2308,18
2309,18
2310,18
2310,78
2310,63
2311,18
2312,18
2454,124
2455,44
2455,18
2455,20
2455,25
2455,16
2455,15
2456,20
2456,15
2458,44
2458,100
2458,44
2461,44
2475,29
2488,11
2526,15
